task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	0d/10199a	4100	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (chr22_with_ERCC92.fa)	COMPLETED	0	2024-10-17 13:17:04.412	3.3s	0ms	73.0%	4.8 MB	10.4 MB	49.5 MB	9 KB
2	a1/67017b	4147	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (chr22_with_ERCC92.fa)	COMPLETED	0	2024-10-17 13:17:04.452	3.6s	1s	85.1%	9 MB	14.7 MB	79.7 MB	29 MB
15	8e/fdfe31	5207	NFCORE_RNASEQ:PREPARE_GENOME:GTF2BED (chr22_with_ERCC92.filtered.gtf)	COMPLETED	0	2024-10-17 13:17:09.079	4.3s	1s	95.1%	69.1 MB	89.4 MB	29.2 MB	509.6 KB
12	62/43849f	4113	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (UHRRep2)	COMPLETED	0	2024-10-17 13:17:04.428	9s	6s	241.8%	731.2 MB	27.8 GB	32 MB	4.2 MB
3	a6/a374c2	4086	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HBRRep1)	COMPLETED	0	2024-10-17 13:17:04.393	18.4s	15s	248.1%	416.3 MB	5.8 GB	442.5 MB	388.7 MB
6	0f/e38580	6721	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HBRRep2)	COMPLETED	0	2024-10-17 13:17:13.438	16.7s	15s	273.4%	343.7 MB	5.8 GB	531.4 MB	473.5 MB
8	ad/7ce253	9160	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HBRRep3)	COMPLETED	0	2024-10-17 13:17:22.787	17.3s	16s	247.5%	368.8 MB	5.8 GB	480.4 MB	424.8 MB
13	ae/0f803a	10785	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (UHRRep3)	COMPLETED	0	2024-10-17 13:17:30.108	18.7s	17s	300.0%	340.2 MB	5.8 GB	673.8 MB	606.8 MB
18	d9/5d9f70	13234	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (HBRRep1)	COMPLETED	0	2024-10-17 13:17:40.093	8.8s	7s	99.4%	7 MB	11.2 MB	19.7 MB	13.1 MB
14	58/3df1f8	13223	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (UHRRep3)	COMPLETED	0	2024-10-17 13:17:40.081	9.1s	7s	257.5%	827.3 MB	27.8 GB	33.9 MB	4.2 MB
